participant_id,access_code,participant_created_at,current_step,completed,latin_square_sequence,condition_code,condition_order,conversation_within_condition,condition_questionnaire_json,session_id,conversation_order,assignment_status,topic_id,variation_id,topic_preference,model_size,model_name,personality_context_enabled,style_name,speaker,text,timestamp,word_count,token_count,is_question,topic_similarity,prev_similarity,windowed_similarity,novelty,coherence,windowed_coherence,topic_consistency,session_novelty,turn_balance,token_balance,question_rate,engagement_score
P-7B335F314B,P-3B2Y-YZ6V,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-075FED334A,P-XEWS-ARQX,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-74EFC6475A,P-KMYE-PPA2,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-CACC1D2865,P-PGMA-837M,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-0543A02D89,P-D2CQ-SJM5,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-31BC643123,P-8SXD-K7XZ,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-05491C334C,P-ARC2-BEFR,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-F2558EAC91,P-J3RQ-EPX4,2026-09-14T13:35:08,consent,0,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,
P-FB0E050FB9,P-7FFB-YDNW,2026-09-14T13:35:08,done,1,6,F,1,1,"{""engagement"": 4, ""naturalness"": 3, ""responsiveness"": 4, ""coherence"": 5, ""topic_consistency"": 5, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Comfortable""], ""comments"": """", ""submitted_at"": ""2026-09-14T13:53:31"", ""condition_code"": ""F"", ""condition_order"": 1, ""latin_square_sequence"": 6, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}",27f7a938-d24f-4a30-85c1-c187c3938199,1,complete,T7,C,high,medium,google/gemma-4-31b-it,0,Neutral Engagement Agent,Agent,trying to plan this birthday party at home idk if i have enough snacks and drinks 😅,2026-09-14T13:45:16,17,22,0,0.5941,,,,0.5382,0.5426,0.5395,0.4618,1.0,0.3708,0.25,0.5262
P-E83994D768,P-FQS6-K9FB,2026-09-14T13:35:08,done,1,2,B,1,1,"{""engagement"": 5, ""naturalness"": 5, ""responsiveness"": 4, ""coherence"": 5, ""topic_consistency"": 5, ""willingness_continue"": 4, ""overall_satisfaction"": 5, ""emotions"": [""Interested"", ""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-15T07:23:33"", ""condition_code"": ""B"", ""condition_order"": 1, ""latin_square_sequence"": 2, ""model_size"": ""small"", ""model_name"": ""google/gemma-3-4b-it"", ""topic_interest"": ""high"", ""personality_context_enabled"": false}",625a8df3-8400-4df2-a18c-6451dc28d414,1,complete,T5,A,high,small,google/gemma-3-4b-it,0,Neutral Engagement Agent,Agent,way too many cheeses here lol id rather have pasta,2026-09-15T07:14:30,10,13,0,0.5187,,,,0.5472,0.5335,0.5232,0.4528,1.0,0.3594,0.1667,0.5105
P-EAA9A620E2,P-8GDD-R9ZZ,2026-09-14T13:35:08,done,1,8,H,1,1,"{""engagement"": 4, ""naturalness"": 4, ""responsiveness"": 4, ""coherence"": 3, ""topic_consistency"": 4, ""willingness_continue"": 4, ""overall_satisfaction"": 4, ""emotions"": [""Interested"", ""Engaged""], ""comments"": """", ""submitted_at"": ""2026-09-15T07:24:51"", ""condition_code"": ""H"", ""condition_order"": 1, ""latin_square_sequence"": 8, ""model_size"": ""medium"", ""model_name"": ""google/gemma-4-31b-it"", ""topic_interest"": ""low"", ""personality_context_enabled"": false}",6f3b5e60-b304-4220-9899-20b0ded39255,1,complete,T5,B,low,medium,google/gemma-4-31b-it,0,Neutral Engagement Agent,Agent,finally finished that huge exam lol now i just need to figure out how to relax,2026-09-15T07:17:33,16,21,0,0.5746,,,,0.5549,0.5603,0.5527,0.4451,1.0,0.5948,0.1667,0.5187
